condition_id,condition_name,judge_key,oracle_key,oracle_fraction,oracle_n,estimate,standard_error,ci_lo,ci_hi,raw_mean,shift_vs_raw,ci_contains_estimate
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,1.0,29510,0.671099373629221,0.0028251709929760695,0.6650029304045311,0.6759688898763568,0.9159606912912325,-0.24486131766201147,True
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,0.5,14802,0.6736403264831081,0.004160476322806086,0.6671704410658823,0.6802945893848756,0.9159606912912325,-0.24232036480812436,True
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,0.25,7408,0.6689293897588965,0.00490278448279223,0.6610534061731208,0.6791001712700414,0.9159606912912325,-0.247031301532336,True
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,0.1,2863,0.6827850149557246,0.00869835052519848,0.6644322470721149,0.6965076187349013,0.9159606912912325,-0.23317567633550784,True
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,0.05,1454,0.6917568532894618,0.012611274476510649,0.6662641170193536,0.7134964271917421,0.9159606912912325,-0.22420383800177068,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,1.0,29510,0.6710945026378456,0.0028261267556274204,0.6650217698195966,0.6759574572690773,0.7256523212470349,-0.05455781860918929,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,0.5,14802,0.6733890833971489,0.004119155366297862,0.6668620121035941,0.6802627676157367,0.7256523212470349,-0.05226323784988607,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,0.25,7408,0.6680036686977486,0.00488706073767297,0.6598784836651479,0.6774970636460099,0.7256523212470349,-0.057648652549286306,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,0.1,2863,0.6811740333669414,0.008598481617095605,0.6627641104514069,0.6963606281122648,0.7256523212470349,-0.04447828788009356,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,0.05,1454,0.689681862148872,0.012648283479989829,0.6639261553465102,0.712630019764071,0.7256523212470349,-0.03597045909816299,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,1.0,29510,0.7717373377579791,0.0020898654198374523,0.7675626518595892,0.7750255344455235,0.9159606912912325,-0.14422335353325333,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,0.5,14802,0.7737921602740032,0.003049436176858528,0.7683689696255528,0.7789802123551671,0.9159606912912325,-0.14216853101722926,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,0.25,7408,0.7713828853858594,0.0037454776392605357,0.7646916147086287,0.7791052558826828,0.9159606912912325,-0.14457780590537306,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,0.1,2863,0.7799552157564061,0.0061546962864025756,0.7681945849106085,0.7906026309828115,0.9159606912912325,-0.13600547553482634,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,0.05,1454,0.7853164229757895,0.008756666011139341,0.7661972653348109,0.800890787198515,0.9159606912912325,-0.13064426831544296,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,1.0,29510,0.7717464231722284,0.0020892695716423987,0.7675621827523484,0.7750467071772353,0.7256523212470349,0.046094101925193476,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,0.5,14802,0.7735722765968297,0.0030077099870117583,0.7679186859610402,0.7782880853832368,0.7256523212470349,0.04791995534979476,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,0.25,7408,0.7706494860024461,0.003726003318212074,0.7641872824860976,0.7776438817224773,0.7256523212470349,0.044997164755411156,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,0.1,2863,0.7787589500392875,0.006074417756899374,0.7664891260273679,0.7901711786404408,0.7256523212470349,0.053106628792252586,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,0.05,1454,0.7844739819648329,0.008759317629459515,0.7644751392719599,0.8008873052125948,0.7256523212470349,0.05882166071779793,True
